filename,column,raw_ocr,matched,score,low_confidence
BlueArchive 2026-08-29 080936_1.png,left_1,シロコ*テラー,シロコ＊テラー,1.000,no
BlueArchive 2026-08-29 080936_1.png,left_2,ネル（バニーガール）,ネル（バニーガール）,1.000,no
BlueArchive 2026-08-29 080936_1.png,left_3,ハナコ（水着）,ハナコ（水着）,1.000,no
BlueArchive 2026-08-29 080936_1.png,left_4,ユウカ,ユウカ,1.000,no
BlueArchive 2026-08-29 080936_1.png,left_5,（マレイサジカル）,（マレイサジカル）,0.000,yes
BlueArchive 2026-08-29 080936_1.png,left_6,シロコ（水着）,シロコ（水着）,1.000,no
BlueArchive 2026-08-29 080936_1.png,right_1,シュン,シュン,1.000,no
BlueArchive 2026-08-29 080936_1.png,right_2,ネル（制服）,ネル（制服）,1.000,no
BlueArchive 2026-08-29 080936_1.png,right_3,ツバキ,ツバキ,1.000,no
BlueArchive 2026-08-29 080936_1.png,right_4,ハナコ（水着）,ハナコ（水着）,1.000,no
BlueArchive 2026-08-29 080936_1.png,right_5,ヒビキ,ヒビキ,1.000,no
BlueArchive 2026-08-29 080936_1.png,right_6,（水シロコ着）,（水シロコ着）,0.000,yes
